hgnc	uniprot_id
OR52L1	Q8NGH7
OR52M1	Q8NGK5
OR52N1	Q8NH53
OR52N2	Q8NGI0
OR52N4	Q8NGI2
OR52N5	Q8NH56
OR52R1	Q8NGF1
OR52W1	Q6IF63
OR56A1	Q8NGH5
OR56A3	Q8NH54
OR56A4	Q8NGH8
OR56A5	P0C7T3
OR56B1	Q8NGI3
OR56B4	Q8NH76
OR5A1	Q8NGJ0
OR5A2	Q8NGI9
OR5AC2	Q9NZP5
OR5AK2	Q8NH90
OR5AL1	P0C617
OR5AN1	Q8NGI8
OR5AP2	Q8NGF4
OR5AR1	Q8NGP9
OR5AS1	Q8N127
OR5AU1	Q8NGC0
OR5B12	Q96R08
OR5B17	Q8NGF7
OR5B2	Q96R09
OR5B21	A6NL26
OR5B3	Q8NH48
OR5C1	Q8NGR4
OR5D13	Q8NGL4
OR5D14	Q8NGL3
OR5D16	Q8NGK9
OR5D18	Q8NGL1
OR5F1	O95221
OR5H1	A6NKK0
OR5H14	A6NHG9
OR5H2	Q8NGV7
OR5H6	Q8NGV6
OR5I1	Q13606
OR5J2	Q8NH18
OR5K1	Q8NHB7
OR5K2	Q8NHB8
OR5K3	A6NET4
OR5K4	A6NMS3
OR5L1	Q8NGL2
OR5M1	Q8NGP8
OR5M10	Q6IEU7
OR5M11	Q96RB7
OR5M8	Q8NGP6
OR5M9	Q8NGP3
OR5P2	Q8WZ92
OR5P3	Q8WZ94
OR5T1	Q8NG75
OR5T2	Q8NGG2
OR5T3	Q8NGG3
OR5V1	Q9UGF6
OR5W2	Q8NH69
OR6A2	O95222
OR6B1	O95007
OR6B2	Q6IFH4
OR6B3	Q8NGW1
OR6C1	Q96RD1
OR6C2	Q9NZP2
OR6C3	Q9NZP0
OR6C4	Q8NGE1
OR6C6	A6NF89
OR6C65	A6NJZ3
OR6C68	A6NDL8
OR6C70	A6NIJ9
OR6C74	A6NCV1
OR6C75	A6NL08
OR6C76	A6NM76
OR6F1	Q8NGZ6
OR6J1	Q8NGC5
OR6K2	Q8NGY2
OR6K3	Q8NGY3
OR6K6	Q8NGW6
OR6M1	Q8NGM8
OR6N1	Q8NGY5
OR6N2	Q8NGY6
OR6P1	Q8NGX9
OR6Q1	Q8NGQ2
OR6S1	Q8NH40
OR6T1	Q8NGN1
OR6V1	Q8N148
OR6X1	Q8NH79
OR6Y1	Q8NGX8
OR7A10	O76100
OR7A17	O14581
OR7A5	Q15622
OR7C1	O76099
OR7C2	O60412
OR7D2	Q96RA2
OR7D4	Q8NG98
OR7E24	Q6IFN5
OR7G1	Q8NGA0
OR7G2	Q8NG99
OR7G3	Q8NG95
OR8A1	Q8NGG7
OR8B12	Q8NGG6
OR8B2	Q96RD0
OR8B3	Q8NGG8
OR8B4	Q96RC9
OR8B8	Q15620
OR8D1	Q8WZ84
OR8D2	Q9GZM6
OR8D4	Q8NGM9
OR8G1	Q15617
OR8G5	Q8NG78
OR8H1	Q8NGG4
OR8H2	Q8N162
OR8H3	Q8N146
OR8I2	Q8N0Y5
OR8J1	Q8NGP2
OR8J3	Q8NGG0
OR8K1	Q8NGG5
OR8K3	Q8NH51
OR8K5	Q8NH50
OR8S1	Q8NH09
OR8U1	Q8NH10
OR9A2	Q8NGT5
OR9A4	Q8NGU2
OR9G1	Q8NH87
OR9G4	Q8NGQ1
OR9I1	Q8NGQ6
OR9K2	Q8NGE7
OR9Q1	Q8NGQ5
OR9Q2	Q8NGE9
