hgnc	uniprot_id
GPR152	Q8TDT2
GPR26	Q8NDV2
GPR31	O00270
GPR32	O75388
GPR45	Q9Y5Y3
GPR50	Q13585
GPR52	Q9Y2T5
GPR78	Q96P69
GPRC6A	Q5T6X5
GPX5	O75715
GPX6	P59796
GRK1	Q15835
GRM4	Q14833
GRM5	P41594
GRM6	O15303
GSC2	O15499
GSTA5	Q7RTV2
GSX1	Q9H4S2
GSX2	Q9BZM3
GUCA2A	Q02747
GUCY2F	P51841
HAO1	Q9UJM8
HCRTR2	O43614
HDGFL1	Q5TGJ6
HHLA1	C9JL84
HMX1	Q9NP08
HOXB1	P14653
HOXD12	P35452
HRG	P04196
HRH3	Q9Y5N1
HSFY1	Q96LI6
HTN3	P15516
HTR1A	P08908
HTR2C	P28335
HTR3C	Q8WXA8
HTR3D	Q70Z44
HTR3E	A5X5Y0
HTR5A	P47898
HTR6	P50406
IAPP	P10997
IFIT1B	Q5T764
IFNA10	P01566
IFNA14	P01570
IFNA16	P05015
IFNA17	P01571
IFNA2	P01563
IFNA21	P01568
IFNA4	P05014
IFNA5	P01569
IFNA6	P05013
IFNA7	P01567
IFNA8	P32881
IFNB1	P01574
IFNK	Q9P0W0
IFNW1	P05000
IL12B	P29460
IL13	P35225
IL17A	Q16552
IL17F	Q96PD4
IL1F10	Q8WWZ1
IL21	Q9HBE4
IL22	Q9GZX6
IL25	Q9H293
IL26	Q9NPH9
IFNL2	Q8IZJ0
IFNL3	Q8IZI9
IFNL1	Q8IU54
IL3	P08700
IL31	Q6EBC2
IL36A	Q9UHA7
IL36B	Q9NZH7
IL36RN	Q9UBH0
IL9	P15248
INS	P01308
INSL5	Q9Y5Q6
INSL6	Q9Y581
INSM2	Q96T92
INSRR	P14616
IQCF1	Q8N6M8
IRGC	Q6NXR0
ISX	Q2M1V0
ITIH6	Q6UXX5
IZUMO2	Q6UXV1
KCNA10	Q16322
KCNB2	Q92953
KCNG4	Q8TDN1
KCNK10	P57789
KCNK16	Q96T55
KCNK18	Q7Z418
KCNV1	Q6PIU1
KHDC3L	Q587J8
KIF2B	Q8N4N8
KIR2DL1	P43626
KIR3DL3	Q8N743
KLK12	Q9UKR0
KLK9	Q9UKQ9
KRT2	P35908
KRT25	Q7Z3Z0
KRT26	Q7Z3Y9
KRT28	Q7Z3Y7
KRT33A	O76009
KRT35	Q92764
KRT36	O76013
KRT37	O76014
KRT38	O76015
KRT40	Q6A162
KRT71	Q3SY84
KRT73	Q86Y46
KRT74	Q7RTS7
KRT75	O95678
KRT76	Q01546
KRT77	Q7Z794
KRT78	Q8N1N4
KRT82	Q9NSB4
KRT84	Q9NSB2
KRT85	P78386
KRT86	O43790
KRT9	P35527
KRTAP1-1	Q07627
KRTAP10-1	P60331
KRTAP10-10	P60014
KRTAP10-11	P60412
KRTAP10-12	P60413
KRTAP10-2	P60368
KRTAP10-4	P60372
KRTAP10-5	P60370
KRTAP10-6	P60371
KRTAP10-7	P60409
KRTAP10-8	P60410
KRTAP10-9	P60411
KRTAP11-1	Q8IUC1
KRTAP13-1	Q8IUC0
KRTAP13-2	Q52LG2
KRTAP13-3	Q3SY46
KRTAP13-4	Q3LI77
KRTAP15-1	Q3LI76
KRTAP17-1	Q9BYP8
KRTAP19-3	Q7Z4W3
KRTAP23-1	A1A580
KRTAP26-1	Q6PEX3
KRTAP3-2	Q9BYR7
KRTAP4-11	Q9BYQ6
KRTAP4-12	Q9BQ66
KRTAP4-2	Q9BYR5
KRTAP4-4	Q9BYR3
KRTAP4-7	Q9BYR0
KRTAP5-2	Q701N4
KRTAP9-2	Q9BYQ4
KRTAP9-3	Q9BYQ3
KRTAP9-4	Q9BYQ2
LALBA	P00709
LBX1	P52954
LCN9	Q8WX39
LCT	P09848
