Q96LW9 ZSCAN31
Q96P71 NECAB3
Q96PQ1 SIGLEC12
Q96RK4 BBS4
Q9BUH8 BEGAIN
Q9BUJ0 ABHD14A
Q9BWM7 SFXN3
Q9BXI2 SLC25A2
Q9C0D9 SELENOI
Q9NRC9 OTOR
Q9NWH9 SLTM
Q9NXH3 PPP1R14D
Q9P003 CNIH4
Q9UHH9 IP6K2
Q9UHQ7 TCEAL9
Q9UIW2 PLXNA1
Q9UMQ3 BARX2
Q9UND3 NPIPA1
Q9Y247 FAM50B
Q9Y5J6 TIMM10B
Q9Y5W7 SNX14
A0A087WV53 SPEGNB
A0A0B4J2F0 PIGBOS1
A0A1W2PP97 THSD8
A0A494BZU4 TMEM217
A0A590UK83 LINC00634
A1L1A6 IGSF23
A3KN74 GPX6
A6NC86 PINLYP
B3KNS4 ERVK3-1
F5H4B4 FAM227A
O14683 TP53I11
O15440 ABCC5
O43805 SSNA1
O75015 FCGR3B
O75030 MITF
O75608 LYPLA1
O94822 LTN1
O95863 SNAI1
O95897 OLFM2
P01825 IGHV4-59
P04839 CYBB
P05111 INHA
P11309 PIM1
P14649 MYL6B
P15407 FOSL1
P16581 SELE
P17677 GAP43
P21754 ZP3
P22760 AADAC
P24666 ACP1
P32314 FOXN2
P46934 NEDD4
P48730 CSNK1D
P50281 MMP14
P61457 PCBD1
P81133 SIM1
P86452 ZBED6
Q05397 PTK2
Q09328 MGAT5
Q13415 ORC1
Q13617 CUL2
Q14449 GRB14
Q16552 IL17A
Q2TAL5 SMTNL2
Q3KP22 MAJIN
Q3LI61 KRTAP20-2
Q495T6 MMEL1
Q4G0M1 ERFE
Q58EX7 PLEKHG4
Q5HYK3 COQ5
Q5SQ80 ANKRD20A2P
Q5VXI9 LIPN
Q6AHZ1 ZNF518A
Q6NZI2 CAVIN1
Q6UN15 FIP1L1
Q6W4X9 MUC6
Q6XCG6 PP632
Q6ZS11 RINL
Q6ZWH5 NEK10
Q7Z5A9 TAFA1
Q7Z7D3 VTCN1
Q86YW0 PLCZ1
Q8IUE1 TGIF2LX
Q8IUM7 NPAS4
Q8IVB5 LIX1L
Q8IZ13 ZBED8
Q8N0V3 RBFA
Q8N884 CGAS
Q8N8D9 IRF1-AS1
Q8NCR3 MFI
Q8ND04 SMG8
Q8NFW9 MYRIP
Q8NH48 OR5B3
Q8TAV5 C11orf45
Q8TD10 MIPOL1
Q969Q6 PPP2R3C
Q96A25 TMEM106A
Q96FJ0 STAMBPL1
Q96FS4 SIPA1
Q96L46 CAPNS2
Q96MT8 CEP63
Q96N06 SPATA33
Q96NG8 ZNF582
Q96S19 METTL26
Q9BR77 CCDC77
Q9BVV7 TIMM21
Q9BXA5 SUCNR1
Q9C0A0 CNTNAP4
Q9GZM6 OR8D2
Q9H322 VCX2
Q9NUG6 PDRG1
Q9NYP9 MIS18A
Q9NZL9 MAT2B
Q9UGF6 OR5V1
Q9UHX3 ADGRE2
Q9UKT8 FBXW2
Q9UL16 CFAP45
Q9Y5G1 PCDHGB3
Q9Y696 CLIC4
A0A075B6T7 TRAV6
A0A0B4J273 TRAV34
A0A0G2JMH3 LOC107984156
A0N4Z7 TRAJ10
A2IDD5 CCDC78
A6NET4 OR5K3
A6NGB9 WIPF3
A6NGE7 URAD
A6NJ88 SAGE2P
A7MD48 SRRM4
A8MUL3 ADARB2-AS1
H0YM25 GOLGA6L22
O00443 PIK3C2A
O14795 UNC13B
O15551 CLDN3
O43435 TBX1
O43812 DUX1
O43930 PRKY
O95197 RTN3
O95837 GNA14
O95935 TBX18
O95995 GAS8
P00736 C1R
P01308 INS
P04553 PRM1
P06315 IGKV5-2
P07197 NEFM
P09669 COX6C
P0C7V9 METTL15P1
P0DP08 IGHV4-38-2
P0DPE3 TMDD1
P0DPF4 TRAV35
P11021 HSPA5
P18754 RCC1
P21554 CNR1
P22794 EVI2A
P30711 GSTT1
P41162 ETV3
P47901 AVPR1B
P48167 GLRB
P49116 NR2C2
P52926 HMGA2
P54278 PMS2
P56730 PRSS12
P60900 PSMA6
P63172 DYNLT1
Q02750 MAP2K1
Q13105 ZBTB17
Q15072 ZNF146
Q15286 RAB35
Q5BKT4 ALG10
Q5DJT8 CT45A2
Q5EE01 CENPW
Q5SXH7 PLEKHS1
Q68CJ6 NUGGC
Q68CP9 ARID2
Q6PI48 DARS2
Q7Z553 MDGA2
Q7Z589 EMSY
Q7Z6J6 FRMD5
Q86U06 RBM23
Q86UW9 DTX2
Q86VF7 NRAP
Q8IUW5 RELL1
Q8IWU6 SULF1
Q8NG80 OR2L5
Q8NGT5 OR9A2
Q8TD26 CHD6
Q8WZB0 LINC00476
Q96B49 TOMM6
Q96CW5 TUBGCP3
Q96EY7 PTCD3
Q96G28 CFAP36
Q96K83 ZNF521
Q96R48 OR2A5
Q9BRI3 SLC30A2
Q9BV19 C1orf50
Q9BVQ7 SPATA5L1
Q9BZM3 GSX2
Q9C0C9 UBE2O
Q9H2E6 SEMA6A
Q9H4A3 WNK1
Q9H4A9 DPEP2
Q9H910 JPT2
Q9HD36 BCL2L10
Q9NPA2 MMP25
Q9NS40 KCNH7
Q9NVK5 FGFR1OP2
