hgnc	uniprot_id
DLL3	Q9NYJ7
DMGDH	Q9UI17
DMTF1	Q9Y222
DNAAF1	Q8NEP3
DNAAF2	Q9NVR5
DNAH11	Q96DT5
DNAH5	Q8TE73
DNAI1	Q9UI46
DNAI2	Q9GZS0
DNAJC19	Q96DA6
DNMT3B	Q9UBC3
DOK7	Q18PE1
DOLK	Q9UPQ8
DPAGT1	Q9H3H5
DPM1	O60762
DPM3	Q9P2X0
DPYD	Q12882
DPYS	Q14117
DRD4	P21917
DSC3	Q14574
DSG4	Q86SJ6
DSP	P15924
DTNBP1	Q96EV8
DUOX2	Q9NRD8
DUOXA2	Q1HG44
DYM	Q7RTS9
DYNC2H1	Q8NCM8
DYSF	O75923
ECM1	Q16610
EDAR	Q9UNE0
EDARADD	Q8WWZ3
EDN3	P14138
EDNRB	P24530
EFEMP2	O95967
EFHC1	Q5JVL4
EGF	P01133
EIF2AK3	Q9NZJ5
EIF2B1	Q14232
EIF2B2	P49770
EIF2B3	Q9NR50
EIF2B4	Q9UI10
EIF2B5	Q13144
ELANE	P08246
EMG1	Q92979
ENAM	Q9NRM1
ENO3	P13929
ENPP1	P22413
EPB41	P11171
EPB42	P16452
EPCAM	P16422
EPM2A	B3EWF7
EPX	P11678
ERBB3	P21860
ERCC1	P07992
ERCC2	P18074
ERCC3	P19447
ERCC4	Q92889
ERCC5	P28715
ERCC6	Q03468
ERCC8	Q13216
ESCO2	Q56NI9
ESRRB	O95718
ETFA	P13804
ETFB	P38117
ETFDH	Q16134
ETHE1	O95571
EVC	P57679
EVC2	Q86UK5
EYS	Q5T1H1
F10	P00742
F12	P00748
F13A1	P00488
F13B	P05160
F5	P12259
F7	P08709
FA2H	Q7L5A8
FAM126A	Q9BYI3
FAM161A	Q3B820
FAM20C	Q8IXL6
FANCA	O15360
FANCB	Q8NB91
FANCC	Q00597
FANCD2	Q9BXW9
FANCE	Q9HB96
FANCF	Q9NPI8
FANCG	O15287
FANCI	Q9NVI1
FANCL	Q9NW38
FANCM	Q8IYD8
FASTKD2	Q9NYY8
FBLN5	Q9UBX5
FBN1	P35555
FBP1	P09467
FBXO7	Q9Y3I1
FERMT1	Q9BQL6
FERMT3	Q86UX7
FGA	P02671
FGB	P02675
FGD4	Q96M96
FGF23	Q9GZV9
FGFR2	P21802
FGG	P02679
FH	P07954
FIG4	Q92562
FKBP10	Q96AY3
FKRP	Q9H9S5
FKTN	O75072
FLNB	O75369
FLVCR1	Q9Y5Y0
FLVCR2	Q9UPI3
FMO3	P31513
