hgnc	uniprot_id
KRT16	P08779
KRT17	Q04695
KRT2	P35908
KRT3	P12035
KRT4	P19013
KRT5	P13647
KRT6A	P02538
KRT6B	P04259
KRT74	Q7RTS7
KRT81	Q14533
KRT83	P78385
KRT86	O43790
KRT9	P35527
LAMB1	P07942
LBR	Q14739
LDB3	O75112
LDLR	P01130
LEFTY2	O00292
LEMD3	Q9Y2U8
LGI1	O95970
LHB	P01229
LHCGR	P22888
LHX4	Q969G2
LIPC	P11150
LITAF	Q99732
LMBR1	Q8WVP7
LMNB1	P20700
LMNB2	Q03252
LMX1B	O60663
LPA	P08519
LRP5	O75197
LRRK2	Q5S007
LYZ	P61626
MAF	O75444
MAP2K1	Q02750
MAP2K2	P36507
MAP4K2	Q12851
MAPT	P10636
MASTL	Q96GX5
MATN3	O15232
MATR3	P43243
MBD5	Q9P267
MC4R	P32245
MED13L	Q71F56
MEF2C	Q06413
MEN1	O00255
MET	P08581
MFN2	O95140
MFRP	Q9BY79
MIP	P30301
MITF	O75030
MLH1	P40692
MMP13	P45452
MNX1	P50219
MPZ	P25189
MSH2	P43246
MSH6	P52701
MSTN	O14793
MSX1	P28360
MSX2	P35548
MYBPC3	Q14896
MYCN	P04198
MYF6	P23409
MYH11	P35749
MYH14	Q7Z406
MYH2	Q9UKX2
MYH3	P11055
MYH6	P13533
MYH7	P12883
MYH8	P13535
MYH9	P35579
MYL2	P10916
MYL3	P08590
MYLK2	Q9H1R3
MYLK3	Q32MK0
MYO1A	Q9UBC5
MYO6	Q9UM54
MYO7A	Q13402
MYOC	Q99972
MYOT	Q9UBF9
NEFL	P07196
NELFE	P18615
NEUROD1	Q13562
NEXN	Q0ZGT2
NF1	P21359
NF2	P35240
NFKBIA	P25963
NIPA1	Q7RTP0
NIPBL	Q6KC79
NKX2-1	P43699
NKX2-5	P52952
NLRP12	P59046
NLRP3	Q96P20
NOBOX	O60393
NOG	Q13253
NOTCH1	P46531
NOTCH2	Q04721
NOTCH3	Q9UM47
NPPA	P01160
NR0B2	Q15466
NR2E1	Q9Y466
NR3C1	P04150
NR3C2	P08235
NR5A1	Q13285
NRAS	P01111
NRG1	Q02297
NRL	P54845
NSD1	Q96L73
NSMF	Q6X4W1
NTF4	P34130
NTRK2	Q16620
OPA1	O60313
OPN1SW	P03999
OPTN	Q96CV9
OSBPL1A	Q9BXW6
OSMR	Q99650
OTX2	P32243
PAFAH1B1	P43034
PAX2	Q02962
PAX3	P23760
PAX4	O43316
PAX6	P26367
PAX9	P55771
PCSK9	Q8NBP7
PDCD10	Q9BUL8
PDE11A	Q9HCR9
PDE6B	P35913
PDE8B	O95263
PER2	O15055
PHOX2B	Q99453
PIKFYVE	Q9Y2I7
PITPNM3	Q9BZ71
PITX1	P78337
PITX2	Q99697
PITX3	O75364
PKD1	P98161
PKD2	Q13563
PKD2L1	Q9P0L9
PKP2	Q99959
PLA2G7	Q13093
PLAT	P00750
PLEKHG4	Q58EX7
PLN	P26678
PMS1	P54277
PMS2	P54278
PNKD	Q8N490
POLG2	Q9UHN1
POLR1D	P0DPB6
PON1	P27169
POU4F3	Q15319
PPARG	P37231
PPOX	P50336
PPP2R2B	Q00005
PRKAG2	Q9UGJ0
PRKCG	P05129
PRKCSH	P14314
PRKD2	Q9BZL6
PRNP	P04156
PROC	P04070
PROK2	Q9HC23
PROS1	P07225
PRPF3	O43395
PRPF31	Q8WWY3
PRPF8	Q6P2Q9
PRSS1	P07477
PSEN1	P49768
PSEN2	P49810
PSTPIP1	O43586
PTCH1	Q13635
PTCH2	Q9Y6C5
PTEN	P60484
PTGIS	Q16647
PTH	P01270
PTHLH	P12272
PTPN11	Q06124
PVR	P15151
PXMP2	Q9NR77
RAB7A	P51149
RAC2	P15153
RAD51C	O43502
RAF1	P04049
RAI1	Q7Z5J4
RASA1	P20936
RAX2	Q96IS3
RB1	P06400
RBM20	Q5T481
RBP4	P02753
REEP1	Q9H902
RET	P07949
RFX5	P48382
RFXANK	O14593
RFXAP	O00287
RGR	P47804
RGS2	P41220
RHO	P08100
RIMS1	Q86UR5
RNASEL	Q05823
RNF135	Q8IUD6
ROBO2	Q9HCK4
ROR2	Q01974
RP1L1	Q8IWN7
RP9	Q8TA86
RPL11	P62913
RPL35A	P18077
RPL5	P46777
RPS10	P46783
RPS17	P08708
RPS19	P39019
RPS24	P62847
RPS26	P62854
RPS7	P62081
RRM2B	Q7LG56
RUNX2	Q13950
RYR2	Q92736
SALL1	Q9NSC2
SALL4	Q9UJQ4
SART3	Q15020
SATB2	Q9UPW6
SCN1A	P35498
SCN1B	Q07699
SCN2A	Q99250
SCN3B	Q9NY72
SCN4A	P35499
SCN4B	Q8IWT1
SCN5A	Q14524
SCN8A	Q9UQD0
SCN9A	Q15858
SCNN1B	P51168
SCNN1G	P51170
SDHAF2	Q9NX18
SDHB	P21912
SDHC	Q99643
SDHD	O14521
SEC63	Q9UGP8
SELP	P16109
SEMA3E	O15041
SERPINA6	P08185
SERPINC1	P01008
SERPIND1	P05546
SERPINE1	P05121
SERPING1	P05155
SERPINI1	Q99574
SETX	Q7Z333
SFTPA2	Q8IWL1
SFTPC	P11686
SGCE	O43556
SH2B3	Q9UQQ2
SH3BP2	P78314
SHANK3	Q9BYB0
SHH	Q15465
SHOC2	Q9UQ13
SHOX	O15266
SIX1	Q15475
SIX3	O95343
SIX5	Q8N196
SLC16A1	P53985
SLC16A12	Q6ZSM3
SLC17A8	Q8NDX2
SLC1A3	P43003
SLC25A4	P12235
SLC2A1	P11166
SLC34A1	Q06495
SLC40A1	Q9NP59
SLC4A1	P02730
SLC6A2	P23975
SLC6A20	Q9NP91
SLC6A3	Q01959
SLC9A3R1	O14745
SLITRK1	Q96PX8
SMAD4	Q13485
SMAD9	O15198
SMARCA4	P51532
SMARCAD1	Q9H4L7
SMARCB1	Q12824
SMC3	Q9UQE7
SNCA	P37840
SNCB	Q16143
SNRNP200	O75643
SNTA1	Q13424
SOD1	P00441
SOS1	Q07889
SOX10	P56693
SOX17	Q9H6I2
SOX2	P48431
SOX9	P48436
SPAST	Q9UBP0
SPATA16	Q9BXB7
SPRED1	Q7Z699
SPTAN1	Q13813
SPTB	P11277
SPTBN2	O15020
SPTLC1	O15269
SPTLC2	O15270
SQSTM1	Q13501
SRSF11	Q05519
SRSF5	Q13243
STAT3	P40763
STK11	Q15831
STX16	O14662
STXBP1	P61764
SYNE2	Q8WXH0
SYNGAP1	Q96PV0
TAB2	Q9NYJ8
TAC3	Q9UHF0
TACR3	P29371
TARDBP	Q13148
TAS2R38	P59533
TBC1D8	O95759
TBP	P20226
TBX1	O43435
TBX20	Q9UMR3
TBX3	O15119
TBX4	P57082
TBX5	Q99593
TBXA2R	P21731
TCF4	P15884
TCOF1	Q13428
TDGF1	P13385
TDO2	P48775
TEC	P42680
TEK	Q02763
TERT	O14746
TFAP2A	P05549
TFAP2B	Q92481
TFPI2	P48307
TGFB1	P01137
TGFB3	P10600
TGFBI	Q15582
TGFBR1	P36897
TGFBR2	P37173
TGIF1	Q15583
THAP1	Q9NVV9
THPO	P40225
TIMP3	P35625
TINF2	Q9BSI4
TK2	O00142
TMC1	Q8TDI8
TMEM43	Q9BTV4
TMPO	P42166
TNFRSF11A	Q9Y6Q6
TNFRSF1A	P19438
TNNI2	P48788
TNNI3	P19429
TNNT2	P45379
TNNT3	P45378
TOR1A	O14656
TP53	P04637
TP63	Q9H3D4
TPI1	P60174
TPM1	P09493
TPM2	P07951
TRPC6	Q9Y210
TRPM4	Q8TD43
TRPS1	Q9UHF7
TRPV4	Q9HBA0
TSC2	P49815
TSHR	P16473
TST	Q16762
TTBK2	Q6IQ55
TTN	Q8WZ42
TTR	P02766
TUBA1A	Q71U36
TUBB1	Q9H4B7
TUBB2B	Q9BVA1
TUBB3	Q13509
TWIST1	Q15672
TXNRD2	Q9NNW7
TYMS	P04818
UBE3A	Q05086
UBIAD1	Q9Y5Z9
UMOD	P07911
UNC119	Q13432
UPK3A	O75631
UROD	P06132
VANGL1	Q8TAA9
VAPB	O95292
VCAN	P13611
VCL	P18206
VCP	P55072
VHL	P40337
VIM	P08670
VSX1	Q9NZR4
VWF	P04275
WDR36	Q8NI36
WFS1	O76024
WNK1	Q9H4A3
WNK4	Q96J92
WNT4	P56705
ZEB1	P37275
ZEB2	O60315
ZFPM2	Q8WW38
ZFYVE27	Q5T4F4
ZIC2	O95409
ZNF750	Q32MQ0
