hgnc	uniprot_id
MRPL18	Q9H0U6
MRPL28	Q13084
MRPL38	Q96DV4
MRPL4	Q9BYD3
MRPL43	Q8N983
MRPL45	Q9BRJ2
MRPL46	Q9H2W6
MRPL53	Q96EL3
MRPS14	O60783
MRPS24	Q96EL2
MRPS34	P82930
MSTO1	Q9BUK6
MTG2	Q9H4K7
MVK	Q03426
MYBBP1A	Q9BQG0
MYC	P01106
NAA10	P41227
NAA38	Q9BRA0
NAA50	Q9GZZ1
NAMPT	P43490
NAPA	P54920
CIAO3	Q9H6Q4
NAT10	Q9H0A0
NCBP1	Q09161
NCBP2	P52298
NDC80	O14777
NDUFA13	Q9P0J0
NEDD8	Q15843
NELFB	Q8WX92
NHP2	Q9NX24
SNU13	P55769
NIP7	Q9Y221
NKAP	Q8N5F7
NLE1	Q9NVX2
NMD3	Q96D46
NMT1	P30419
NOC4L	Q9BVI4
NOL10	Q9BSC4
NOL11	Q9H8H0
NOL6	Q9H6R4
NOL9	Q5SY16
NOP16	Q9Y3C1
NOP2	P46087
NOP56	O00567
NOP9	Q86U38
NPLOC4	Q8TAT6
NSA2	O95478
NSF	P46459
NUDC	Q9Y266
NUDCD3	Q8IVD9
NUDT21	O43809
NUDT4	Q9NZJ9
NUF2	Q9BZD4
NUP133	Q8WUM0
NUP155	O75694
NUP160	Q12769
NUP214	P35658
NUP85	Q9BW27
NUP88	Q99567
NUP93	Q8N1F7
NUS1	Q96E22
NUTF2	P61970
NVL	O15381
NXF1	Q9UBU9
OGDH	Q02218
OGT	O15294
LTO1	Q8WV07
ORC6	Q9Y5N6
OSGEP	Q9NPF4
PABPC1	P11940
PAFAH1B1	P43034
PAICS	P22234
PAK1IP1	Q9NWT1
PCID2	Q5JVF3
PCNA	P12004
PFDN2	Q9UHV9
PFN1	P07737
PGAM1	P18669
PGGT1B	P53609
PGK1	P00558
PHB	P35232
PHB2	Q99623
PHF5A	Q7RTV0
PKMYT1	Q99640
PLK1	P53350
PLRG1	O43660
PMPCA	Q10713
PMPCB	O75439
PNKP	Q96T60
POLA2	Q14181
POLR1A	O95602
POLR1B	Q9H9Y6
POLR1C	O15160
POLR2A	P24928
POLR2B	P30876
POLR2C	P19387
POLR2D	O15514
POLR2E	P19388
POLR2G	P62487
POLR2H	P52434
POLR2I	P36954
POLR2L	P62875
POLR3A	O14802
POLR3C	Q9BUI4
POLR3H	Q9Y535
POLR3K	Q9Y2Y1
POLRMT	O00411
POP1	Q99575
POP5	Q969H6
PPA1	Q15181
PPAN	Q9NQ55
PPAT	Q06203
PPIL2	Q13356
PPP2CA	P67775
PTPA	Q15257
PPP4C	P60510
PPWD1	Q96BP3
PREB	Q9HCU5
PRELID1	Q9Y255
PRIM1	P49642
PRMT1	Q99873
PRMT5	O14744
PRPF19	Q9UMS4
PRPF31	Q8WWY3
PRPF38A	Q8NAV1
PRPF38B	Q5VTL8
PRPF4	O43172
PRPF8	Q6P2Q9
PSMA1	P25786
PSMA2	P25787
PSMA3	P25788
PSMA4	P25789
PSMA5	P28066
PSMA6	P60900
PSMA7	O14818
PSMB1	P20618
PSMB2	P49721
PSMB3	P49720
PSMB4	P28070
PSMB7	Q99436
PSMC2	P35998
PSMC3	P17980
PSMC5	P62195
PSMC6	P62333
PSMD1	Q99460
PSMD11	O00231
PSMD12	O00232
PSMD13	Q9UNM6
PSMD14	O00487
PSMD3	O43242
PSMD4	P55036
PSMG3	Q9BT73
PTPN23	Q9H3S7
PUF60	Q9UHX1
PWP2	Q15269
RABGGTB	P53611
RACGAP1	Q9H0H5
RAD21	O60216
RAD51C	O43502
RAD51D	O75771
RAE1	P78406
RAN	P62826
RANGAP1	P46060
RARS2	Q5T160
RBBP6	Q7Z6E9
RBM14	Q96PK6
RBM17	Q96I25
RBM8A	Q9Y5S9
RBMX	P38159
RBX1	P62877
RCC1	P18754
RCL1	Q9Y2P8
RFC2	P35250
RFC4	P35249
RFC5	P40937
RFK	Q969G6
RHEB	Q15382
RIOK2	Q9BVS4
RNF20	Q5VTR2
RNGTT	O60942
ROMO1	P60602
RPA1	P27694
RPA2	P15927
RPF2	Q9H7B2
RPL10A	P62906
RPL11	P62913
RPL12	P30050
RPL13	P26373
RPL14	P50914
RPL18	Q07020
RPL18A	Q02543
RPL19	P84098
RPL23	P62829
RPL24	P83731
RPL27	P61353
RPL27A	P46776
RPL3	P39023
RPL30	P62888
RPL35	P42766
RPL35A	P18077
RPL36	Q9Y3U8
RPL37A	P61513
RPL4	P36578
RPL6	Q02878
RPL8	P62917
RPLP0	P05388
RPLP1	P05386
RPLP2	P05387
RPP21	Q9H633
RPP38	P78345
RPS11	P62280
RPS12	P25398
RPS13	P62277
RPS15A	P62244
RPS16	P62249
RPS18	P62269
RPS19	P39019
RPS2	P15880
RPS20	P60866
RPS21	P63220
RPS23	P62266
RPS3	P23396
RPS4X	P62701
RPS5	P46782
RPS6	P62753
RPS7	P62081
RPS8	P62241
RRM1	P23921
RRP1	P56182
RRP12	Q5JTH9
RRS1	Q15050
RTCB	Q9Y3I0
RUVBL2	Q9Y230
SACM1L	Q9NTJ5
SAE1	Q9UBE0
SAMM50	Q9Y512
SAP18	O00422
SARS2	Q9NP81
SART3	Q15020
SBNO1	A3KN83
SDAD1	Q9NVU7
SDHC	Q99643
SEC13	P55735
SEH1L	Q96EE3
SF1	Q15637
SF3A2	Q15428
SF3A3	Q12874
SF3B1	O75533
SF3B2	Q13435
SF3B3	Q15393
SF3B5	Q9BWJ5
SKP1	P63208
SLC35B1	P78383
PRELID3B	Q9Y3B1
SLU7	O95391
SMC1A	Q14683
SMC2	O95347
SMC4	Q9NTJ3
SMU1	Q2TAY7
SNAPC1	Q16533
SNAPC2	Q13487
SNAPC4	Q5SXM2
SNRNP200	O75643
SNRNP25	Q9BV90
SNRNP27	Q8WVK2
SNRNP35	Q16560
SNRNP70	P08621
SNRPA1	P09661
SNRPD1	P62314
SNRPD2	P62316
SNRPD3	P62318
SNRPF	P62306
SNW1	Q13573
SPATA5L1	Q9BVQ7
SPC24	Q8NBT2
SPC25	Q9HBM1
SRBD1	Q8N5C6
SRP19	P09132
SRRM1	Q8IYB3
SRRT	Q9BXP5
SRSF1	Q07955
SRSF2	Q01130
SRSF3	P84103
SRSF7	Q16629
SS18L2	Q9UHA2
SSU72	Q9NP77
SUPT5H	O00267
SUPT6H	Q7KZ85
SUPV3L1	Q8IYB8
SYMPK	Q92797
SYS1	Q8N2H4
TAF1B	Q53T94
TAF6	P49848
TANGO6	Q9C0B7
TBCD	Q9BTW9
TBL3	Q12788
TCP1	P17987
TELO2	Q9Y4R8
TFAM	Q00059
TFRC	P02786
THOC2	Q8NI27
THOC3	Q96J01
THOC5	Q13769
TICRR	Q7Z2Z1
TIMM10	P62072
TIMM13	Q9Y5L4
TIMM23	O14925
TIMM44	O43615
TMEM258	P61165
TNPO3	Q9Y5L0
TOMM22	Q9NS69
TOMM40	O96008
TONSL	Q96HA7
TOP1	P11387
TOP2A	P11388
TPT1	P13693
TPX2	Q9ULW0
TRAPPC1	Q9Y5R8
TRAPPC3	O43617
TRIAP1	O43715
TRMT112	Q9UI30
TRMT5	Q32P41
TRNAU1AP	Q9NX07
TRRAP	Q9Y4A5
TSR1	Q2NL82
TTC1	Q99614
TTC27	Q6P3X3
TTI1	O43156
TTI2	Q6NXR4
TUBB	P07437
TUBG1	P23258
TUBGCP2	Q9BSJ2
TUBGCP3	Q96CW5
TUBGCP6	Q96RT7
TUFM	P49411
TUT1	Q9H6E5
TXN	P10599
TXNL4A	P83876
U2AF1	Q01081
U2AF2	P26368
UBA1	P22314
UBA52	P62987
UBE2L3	P68036
UBE2M	P61081
UBE2N	P61088
UBL5	Q9BZL1
UBTF	P17480
UPF1	Q92900
UPF2	Q9HAU5
UQCRC1	P31930
UQCRFS1	P47985
UROD	P06132
USP39	Q53GS9
USP5	P45974
USPL1	Q5W0Q7
UTP15	Q8TED0
UTP20	O75691
UTP23	Q9BRU9
UXT	Q9UBK9
VARS2	Q5ST30
VCP	P55072
VPS25	Q9BRG1
VPS28	Q9UK41
BUD23	O43709
WDR12	Q9GZL7
WDR25	Q64LD2
WDR3	Q9UNX4
WDR33	Q9C0J8
WDR43	Q15061
WDR61	Q9GZS3
WDR70	Q9NW82
WDR74	Q6RFH5
WDR75	Q8IWA0
WDR77	Q9BQA1
WEE1	P30291
XAB2	Q9HCS7
XPO1	O14980
XRCC6	P12956
YARS2	Q9Y2Z4
YRDC	Q86U90
ZBTB8OS	Q8IWT0
ZMAT5	Q9UDW3
ZNF131	P52739
ZPR1	O75312
ZNF574	Q6ZN55
